source,https://coronavirus.dc.gov/page/coronavirus-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)/test ratio,0.0,13.0,20.0,83.3,20.5,24.2,8.6,600.0,2.0,10.3,18.3,17.4,19.3,11.7,10.6,12.8,21.6,13.9,14.2,10.0,20.2,17.0,24.2,15.8,31.1,49.8,18.8,21.7,17.3,16.1,27.2,17.6,1985.7,24.5,25.6,30.4,29.5,32.4,20.7,19.2,36.2,27.7,22.2,18.5,14.7,21.7,32.6,25.5,0.0,54.5,19.9,22.2,28.5,21.2,22.1,19.5,19.0,12.3,16.9,12.2,16.3,11.3,10.1,14.3,8.1,11.3,10.6,11.2,17.7,8.5,0.8,14400.0,14.4,8.7,11.2,10.5,13.4,10.1,9.8,7.2,6.6,0.0,23400.0,3.4,3.9,7.1,4.7,6.1,6.1,4.7,2.4,5.1,3.9,2.4,1.5,1.0,2.7,3.1,0.8,2.3,1.5,12.1,1.8,1.2,1.9,0.0,26.7,2.0,1.8,1.4,2.4,2.6,0.7,2.4,2.0,1.8,2.0,2.3,1.3,1.8,1.6,1.8,1.1,2.0,2.2,2.9,2.4,2.4,2.0,2.2,2.6,1.7,2.4,1.8,2.4,3.1,2.2,2.7,2.0,1.2,0.0,4.3,2.4,6.5,1.7,2.4,2.6,1.4,2.2,2.2,2.0,3.2,2.2,1.4,1.4,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hosp ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
mort ratio,0,0,0,0,0,0,0,16.66666667,0,5.555555556,0,0,2.083333333,0,2.702702703,2.631578947,6.779661017,0,2.197802198,1.492537313,2.884615385,4.137931034,1.041666667,2.040816327,0,2.183406114,6.024096386,4.379562044,7.627118644,3.092783505,2.5,14.5631068,3.597122302,5.882352941,3.968253968,2.631578947,3.937007874,6.71641791,4.093567251,13.88888889,7.741935484,8.383233533,7.01754386,9.154929577,13.7254902,4.901960784,13.39285714,8.755760369,700,1.898734177,5.02283105,4.545454545,3.947368421,9.352517986,4.14507772,7.755102041,3.448275862,7.058823529,4.273504274,8.333333333,14.14141414,5.263157895,7.407407407,4.093567251,9.87654321,6.12244898,4.87804878,5.982905983,2.109704641,5.714285714,12.32876712,3.472222222,6.956521739,0,6.944444444,9.302325581,15.2173913,1.117318436,4.761904762,3.571428571,6.896551724,300,0.854700855,5.063291139,5.714285714,9.523809524,3.50877193,4.705882353,6.349206349,5.769230769,6.153846154,9.090909091,6.896551724,0,26.31578947,10.34482759,7.142857143,6.12244898,3.125,5.555555556,5.263157895,5.555555556,11.76470588,6.451612903,11.53846154,200,0.19379845,2.272727273,0,5.263157895,4,2.222222222,16.66666667,5.714285714,6.060606061,0,3.846153846,10.81081081,0,0,0,0,0,3.75,6,7.692307692,1.265822785,0,1.282051282,1.136363636,0,2.380952381,0,0,0,1.282051282,1.149425287,1.851851852,0,1.428571429,0,0.680272109,0,1.176470588,0,0,2.816901408,1.5625,1,0,2.247191011,0,1.538461538,0,7.317073171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tested,0,46,5,6,44,33,370,0,1055,174,115,265,249,308,350,296,273,674,639,672,514,854,396,619,370,460,441,631,684,601,294,584,7,625,493,625,431,414,826,563,428,603,769,766,348,469,344,850,1056,869,1098,693,534,655,872,1259,1068,1387,691,789,608,1341,1340,1193,994,1299,1549,1045,1337,1237,8998,0,800,1252,642,817,344,1771,854,780,438,1861,0,2299,1796,890,1219,1386,1040,1096,2665,1083,1494,1316,1280,2960,2113,1592,4162,1569,2482,298,1871,2558,1392,1148,3861,2228,1935,2740,1028,1746,1745,1439,1657,2727,3912,1634,4961,3166,2833,3337,3696,4028,2298,1365,3348,2810,3975,3971,3861,2449,3239,3749,2589,2550,3874,2027,2941,5751,5040,3411,1623,1312,2698,3158,2742,4609,4608,2449,4358,1992,2908,6656,2911,3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(+) tests,0,6,1,5,9,8,32,6,21,18,21,46,48,36,37,38,59,94,91,67,104,145,96,98,115,229,83,137,118,97,80,103,139,153,126,190,127,134,171,108,155,167,171,142,51,102,112,217,0,474,219,154,152,139,193,245,203,170,117,96,99,152,135,171,81,147,164,117,237,105,73,144,115,109,72,86,46,179,84,56,29,0,234,79,70,63,57,85,63,52,65,55,58,32,19,29,56,49,32,36,38,36,34,31,26,0,1032,44,35,38,25,45,12,35,33,49,78,37,64,58,46,59,40,80,50,39,79,67,78,88,102,42,78,68,63,78,87,54,58,70,0,147,39,85,45,75,71,64,100,54,89,63,65,94,41,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hospitalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
deceased,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,4,0,2,1,3,6,1,2,0,5,5,6,9,3,2,15,5,9,5,5,5,9,7,15,12,14,12,13,7,5,15,19,7,9,11,7,6,13,8,19,7,12,5,8,14,8,10,7,8,9,8,7,5,6,9,5,8,0,5,8,7,2,4,2,2,3,2,4,4,6,2,4,4,3,4,5,4,0,5,3,4,3,1,2,2,2,4,2,3,2,2,1,0,2,1,1,2,2,2,0,3,4,0,0,0,0,0,3,3,3,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,2,1,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ward,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,xx
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,16,7,12,16,25,12,11,19,16,5,7,13,21,18,27,21,14,11,4,17,27,24,17,6,25,28,40,0,78,28,19,26,16,36,28,35,26,16,21,8,28,16,27,11,23,38,9,39,24,10,20,19,22,12,10,10,23,8,8,6,0,45,14,11,7,15,8,9,2,18,12,6,5,5,3,6,5,5,12,4,6,6,1,7,4,2,9,4,5,3,7,1,8,6,6,6,6,4,10,5,8,7,9,7,6,7,7,10,4,8,10,11,7,10,7,11,8,3,4,0,14,1,8,1,5,6,3,13,6,5,5,3,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
