,source ,,http://www.vdh.virginia.gov/coronavirus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(+) tests,,,290,460,604,739,890,1020,1250,1484,1706,2012,2407,2637,2878,3333,3645,4042,4509,5077,5274,5747,6171,6500,6889,7491,8053,8537,8990,9630,10266,10998,11594,12366,12970,13535,14339,14961,15846,16901,17731,18671,19492,20256,20985,21570,22342,23196,24081,25070,25800,26746,27813,28672,29683,30388,31140,32145,32908,34137,34950,35749,36244,37727,39342,40249,41401,42533,43611,44607,45398,46239,46905,47856,48532,49397,50681,51251,51738,52177,52647,53211,53869,54506,54886,55331,55775,56238,0,0,0,0,0,0,0,0,0,0,0,0
,hospitalization,,,45,65,83,99,112,136,165,208,246,312,390,431,497,563,615,685,772,837,872,903,978,1048,1114,1221,1296,1422,1500,1581,1659,1753,1837,1942,2014,2066,2165,2259,2322,2416,2519,2627,2700,2773,2890,2955,3059,3164,3211,3300,3395,3520,3592,3657,3724,3775,3822,3904,3979,4093,4145,4181,4214,4269,4325,4385,4442,4529,4601,4643,4694,4770,4884,4957,5008,5054,5106,5143,5203,5272,5360,5445,5511,5536,5588,5643,5692,5744,0,0,0,0,0,0,0,0,0,0,0,0
,deceased,,,7,13,14,17,22,25,27,34,41,46,52,51,54,63,75,109,121,130,141,149,154,195,208,231,258,277,300,324,349,372,410,436,448,458,492,522,552,581,616,660,684,713,737,769,812,827,839,850,891,927,955,977,1002,1009,1014,1041,1074,1099,1136,1159,1171,1208,1236,1281,1338,1358,1370,1375,1392,1407,1428,1445,1453,1460,1472,1477,1496,1514,1520,1534,1541,1546,1552,1570,1583,1586,0,0,0,0,0,0,0,0,0,0,0,0
,tested,,,4470,6189,7337,9166,10609,12038,13401,15344,17589,19005,21552,23671,24521,28645,30645,33026,35459,37999,39985,41401,42763,44169,46444,48997,51931,54733,56735,58354,60778,64518,69015,72178,76118,80180,82753,85307,90843,105648,112450,119065,122788,127938,130245,136558,143220,150952,157957,167758,171239,180084,185551,195636,205249,210825,218393,224991,235199,241957,249940,258163,272333,289579,298270,308153,319600,332330,340856,352707,362534,369308,381539,391719,401899,414383,424316,428182,435575,443486,453869,498530,509386,519782,530432,536989,546685,555462,0,0,0,0,0,0,0,0,0,0,0,0
Health District,Locality,idx,FIPS,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
Alexandria,Alexandria,1,51510,8,14,18,20,25,26,30,32,33,56,68,74,93,126,143,149,174,188,198,235,247,254,275,321,354,383,421,462,474,512,547,575,591,627,653,700,754,802,848,899,940,983,1022,1060,1110,1142,1193,1224,1240,1305,1349,1396,1460,1476,1510,1544,1577,1627,1657,1703,1733,1754,1785,1824,1887,1941,1960,1974,1981,2000,2016,2031,2045,2070,2095,2102,2115,2125,2127,2128,2134,2151,2160,2168,2175,2186,0,0,0,0,0,0,0,0,0,0,0,0
Alleghany,Alleghany,2,51005,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,9,9,10,9,10,13,13,13,16,16,17,19,20,20,23,24,24,24,24,26,26,26,26,26,26,27,28,28,28,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
,Botetourt,3,51023,1,1,1,1,2,5,5,6,8,8,14,15,15,18,18,18,21,22,23,24,23,23,23,23,23,24,24,25,26,26,27,27,27,27,27,28,28,28,28,28,28,29,30,29,30,29,29,30,30,30,30,30,30,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,34,34,34,35,39,40,40,40,40,44,44,47,47,47,50,51,51,0,0,0,0,0,0,0,0,0,0,0,0
,Craig,4,51045,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
,Roanoke County,5,51161,0,1,1,2,2,2,3,4,4,4,5,5,5,8,9,9,13,13,14,18,16,17,19,20,20,22,24,25,31,34,39,39,39,41,41,47,51,53,54,57,57,57,59,60,62,62,62,79,79,80,83,83,84,85,86,88,88,89,90,90,90,94,96,96,97,102,104,105,106,110,113,113,119,122,122,122,126,125,128,132,134,134,134,141,148,149,0,0,0,0,0,0,0,0,0,0,0,0
