source ,,http://www.vdh.virginia.gov/coronavirus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)/test ratio,,,0.0,9.9,12.5,7.4,10.5,9.1,16.9,12.0,9.9,21.6,15.5,10.9,28.4,11.0,15.6,16.7,19.2,22.4,9.9,33.4,31.1,23.4,17.1,23.6,19.2,17.3,22.6,39.5,26.2,19.6,13.3,24.4,15.3,13.9,31.2,24.4,16.0,7.1,12.2,14.2,22.1,14.8,31.6,9.3,11.6,11.0,12.6,10.1,21.0,10.7,19.5,8.5,10.5,12.6,9.9,15.2,7.5,18.2,10.2,9.7,3.5,8.6,18.6,9.2,10.1,8.9,12.6,8.4,8.0,12.4,5.4,9.3,6.6,6.9,12.9,14.7,6.6,5.5,4.5,1.3,6.1,6.1,3.6,6.8,4.6,5.3,4.7,3.4,3.1,3.7,5.1,5.9,2.3,4.2,5.3,4.2,5.6,6.4,2.8,2.9,4.2,5.7,6.1,6.0,4.8,6.2,3.5,6.8,3.8,4.6,9.4,4.6,7.0,5.1,5.7,6.5,5.4,7.0,4.9,6.8,4.3,5.7,5.8,5.2,13.5,4.5,5.6,4.7,6.0,5.2,7.4,8.4,8.7,6.7,5.1,14.0,8.6,4.2,3.7,9.9,2.6,17.7,4.6,14.9,5.4,3.6,5.0,4.3,5.2,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hosp ratio,,,0.0,11.8,12.5,11.9,8.6,18.5,12.6,18.4,17.1,21.6,19.7,17.8,27.4,14.5,16.7,17.6,18.6,11.4,17.8,6.6,17.7,21.3,17.0,17.8,13.3,26.0,17.2,12.7,12.3,12.8,14.1,13.6,11.9,9.2,12.3,15.1,7.1,8.9,12.4,11.5,8.9,9.6,16.0,11.1,13.5,12.3,5.3,9.0,13.0,13.2,6.7,7.6,6.6,7.2,6.3,8.2,9.8,9.3,6.4,4.5,6.7,3.7,3.5,6.6,4.9,7.7,6.7,4.2,6.4,9.0,17.1,7.7,7.5,5.3,4.0,6.5,12.3,15.7,18.7,15.1,10.0,3.9,13.7,12.4,11.0,11.2,9.5,1.5,6.0,6.2,8.3,8.1,9.3,12.2,7.2,3.3,6.2,6.5,14.2,13.3,7.4,3.2,2.0,4.8,12.1,10.2,7.8,5.3,3.8,4.2,2.2,6.5,8.1,12.7,6.7,6.4,1.7,3.8,6.6,8.2,10.2,6.9,4.4,2.4,3.6,4.2,5.2,5.3,8.1,4.8,4.6,4.8,5.9,5.1,7.0,4.9,3.9,4.1,3.3,6.7,9.5,5.4,4.8,5.6,3.8,4.1,9.5,10.3,8.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mort ratio,,,0.0,3.5,0.7,2.2,3.3,2.3,0.9,3.0,3.2,1.6,1.5,0.0,1.2,2.0,3.8,8.6,2.6,1.6,5.6,1.7,1.2,12.5,3.3,3.8,4.8,3.9,5.1,3.8,3.9,3.1,6.4,3.4,2.0,1.8,4.2,4.8,3.4,2.7,4.2,4.7,2.9,3.8,3.3,5.5,5.6,1.8,1.4,1.1,5.6,3.8,2.6,2.6,2.5,1.0,0.7,2.7,4.3,2.0,4.6,2.9,2.4,2.5,1.7,5.0,4.9,1.8,1.1,0.5,2.1,1.8,3.2,1.8,1.2,0.8,0.9,0.9,3.9,4.1,1.3,2.5,1.1,0.8,1.6,4.0,2.9,0.6,2.9,0.8,0.7,1.9,4.7,3.1,3.2,4.0,3.5,1.6,1.8,3.8,5.5,5.6,4.4,0.6,0.6,0.0,4.4,3.8,5.2,2.2,0.5,0.5,0.2,1.1,1.4,1.7,0.6,1.3,0.2,0.4,1.7,0.3,0.4,1.2,0.6,0.3,0.3,1.4,3.0,1.8,3.4,4.5,0.3,0.0,2.3,3.8,3.1,0.9,0.4,0.4,0.2,1.7,1.0,1.0,0.6,1.2,0.0,0.5,1.3,1.9,2.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tested,,,0,1719,1148,1829,1443,1429,1363,1943,2245,1416,2547,2119,850,4124,2000,2381,2433,2540,1986,1416,1362,1406,2275,2553,2934,2802,2002,1619,2424,3740,4497,3163,3940,4062,2573,2554,5536,14805,6802,6615,3723,5150,2307,6313,6662,7732,7005,9801,3481,8845,5467,10085,9613,5576,7568,6598,10208,6758,7983,8223,14170,17246,8691,9883,11447,12730,8526,11851,9827,6774,12231,10180,10180,12484,9933,3866,7393,7911,10383,44661,10856,10396,10650,6557,9696,8777,11700,18993,17761,12891,10441,8848,18404,14861,12720,11649,8044,9319,15059,18328,15549,12526,10429,5881,13317,10180,17431,13952,22512,19247,10364,17427,15573,17749,17605,14418,19652,13450,20234,15045,19564,19655,21455,18557,11163,20509,17890,19287,16521,17403,13330,15692,13127,11962,16121,14436,15201,21592,17909,10063,29784,6207,26344,6129,17206,20624,17292,17192,16695,19820,0,0,0,0,0,0,0,0,0,0,
(+) tests,,,0,170,144,135,151,130,230,234,222,306,395,230,241,455,312,397,467,568,197,473,424,329,389,602,562,484,453,640,636,732,596,772,604,565,804,622,885,1055,830,940,821,764,729,585,772,854,885,989,730,946,1067,859,1011,705,752,1005,763,1229,813,799,495,1483,1615,907,1152,1132,1078,996,791,841,666,951,676,865,1284,570,487,439,470,564,658,637,380,445,444,463,555,650,551,471,529,520,432,624,677,489,453,598,416,532,658,716,639,354,638,635,613,943,851,888,972,801,1084,904,1002,940,1057,945,996,1022,844,1127,1245,958,1505,922,999,911,984,913,981,1324,1145,798,818,2015,1307,897,663,996,776,1101,1216,912,937,734,861,737,863,978,0,0,0,0,0,0,0,0,0,0,
hospitalization,,,0,20,18,16,13,24,29,43,38,66,78,41,66,66,52,70,87,65,35,31,75,70,66,107,75,126,78,81,78,94,84,105,72,52,99,94,63,94,103,108,73,73,117,65,104,105,47,89,95,125,72,65,67,51,47,82,75,114,52,36,33,55,56,60,57,87,72,42,51,76,114,73,51,46,52,37,60,69,88,85,66,25,52,55,49,52,53,10,33,29,44,42,40,76,49,16,28,39,59,71,49,23,13,17,77,65,48,50,32,37,21,52,88,115,67,60,18,36,66,84,86,78,55,23,54,39,52,48,80,44,45,63,67,41,57,98,51,37,22,67,74,60,58,51,36,30,82,76,73,73,0,0,0,0,0,0,0,0,0,0,
deceased,,,0,6,1,3,5,3,2,7,7,5,6,0,3,9,12,34,12,9,11,8,5,41,13,23,27,19,23,24,25,23,38,26,12,10,34,30,30,29,35,44,24,29,24,32,43,15,12,11,41,36,28,22,25,7,5,27,33,25,37,23,12,37,28,45,57,20,12,5,17,15,21,17,8,7,12,5,19,18,6,14,7,5,6,18,13,3,16,5,4,9,25,16,14,25,24,8,8,23,23,30,29,4,4,0,28,24,32,21,4,4,2,9,15,15,6,12,2,4,17,3,3,13,8,3,4,13,30,16,33,41,3,0,26,30,25,18,5,4,1,17,8,11,7,11,0,4,11,14,17,9,0,0,0,0,0,0,0,0,0,0,
Locality,idx,FIPS,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,xx
Alexandria,1,51510,0,6,4,2,5,1,4,2,1,23,12,6,19,33,17,6,25,14,10,37,12,7,21,46,33,29,38,41,12,38,35,28,16,36,26,47,54,48,46,51,41,43,39,38,50,32,51,31,16,65,44,47,64,16,34,34,33,50,30,46,30,21,31,39,63,54,19,14,7,19,16,15,14,25,25,7,13,10,2,1,6,17,9,8,7,11,12,19,10,9,12,10,13,16,16,9,5,8,0,2,11,19,19,4,19,9,11,20,14,2,1,9,21,21,16,17,7,12,23,36,21,23,25,8,40,14,10,20,19,13,9,24,23,5,15,30,32,15,12,19,19,6,30,32,22,26,16,19,21,17,0,0,0,0,0,0,0,0,0,0,
