Report Date,ZCTA,Number of Cases,Number of PCR Testing Encounters
6/9/2020,20105,98,1119
6/9/2020,20106,31,176
6/9/2020,20109,1032,3405
6/9/2020,20110,1342,4300
6/9/2020,20111,823,2722
6/9/2020,20112,186,1331
6/9/2020,20115,34,227
6/9/2020,20117,8,95
6/9/2020,20118,Suppressed*,70
6/9/2020,20119,23,162
6/9/2020,20120,292,1620
6/9/2020,20121,210,1101
6/9/2020,20124,59,520
6/9/2020,20129,7,47
6/9/2020,20130,0,10
6/9/2020,20132,58,641
6/9/2020,20135,8,114
6/9/2020,20136,169,1135
6/9/2020,20137,12,71
6/9/2020,20139,Suppressed*,10
6/9/2020,20141,17,236
6/9/2020,20143,Suppressed*,49
6/9/2020,20144,Suppressed*,28
6/9/2020,20147,337,2897
6/9/2020,20148,161,1648
6/9/2020,20151,258,1091
6/9/2020,20152,155,1369
6/9/2020,20155,226,1644
6/9/2020,20158,15,147
6/9/2020,20164,1009,3428
6/9/2020,20165,260,1890
6/9/2020,20166,158,819
6/9/2020,20169,90,952
6/9/2020,20170,920,2731
6/9/2020,20171,275,1440
6/9/2020,20175,195,1766
6/9/2020,20176,585,2832
6/9/2020,20180,18,272
6/9/2020,20181,36,384
6/9/2020,20184,Suppressed*,42
6/9/2020,20186,66,750
6/9/2020,20187,65,612
6/9/2020,20190,211,1383
6/9/2020,20191,287,1314
6/9/2020,20194,32,414
6/9/2020,20197,6,94
6/9/2020,20198,6,67
6/9/2020,22003,1164,4124
6/9/2020,22015,364,1864
6/9/2020,22025,108,820
6/9/2020,22026,208,1112
6/9/2020,22027,44,129
6/9/2020,22030,372,2622
6/9/2020,22031,380,2095
6/9/2020,22032,124,1049
6/9/2020,22033,237,1561
6/9/2020,22035,Suppressed*,15
6/9/2020,22039,56,620
6/9/2020,22041,684,2714
6/9/2020,22042,724,2523
6/9/2020,22043,223,1000
6/9/2020,22044,255,931
6/9/2020,22046,186,1003
6/9/2020,22060,14,156
6/9/2020,22066,67,589
6/9/2020,22079,289,1563
6/9/2020,22101,120,1558
6/9/2020,22102,109,1052
6/9/2020,22124,56,607
6/9/2020,22125,Suppressed*,39
6/9/2020,22134,18,81
6/9/2020,22150,722,2792
6/9/2020,22151,265,1017
6/9/2020,22152,187,1121
6/9/2020,22153,157,1153
6/9/2020,22172,137,619
6/9/2020,22180,208,1082
6/9/2020,22181,58,465
6/9/2020,22182,112,949
6/9/2020,22191,1429,5895
6/9/2020,22192,597,3812
6/9/2020,22193,1352,5753
6/9/2020,22201,209,1498
6/9/2020,22202,185,1045
6/9/2020,22203,300,1418
6/9/2020,22204,904,3804
6/9/2020,22205,128,1120
6/9/2020,22206,166,1027
6/9/2020,22207,257,1637
6/9/2020,22209,83,563
6/9/2020,22211,Suppressed*,15
6/9/2020,22213,18,130
6/9/2020,22214,0,2
6/9/2020,22301,68,685
6/9/2020,22302,220,1364
6/9/2020,22303,191,870
6/9/2020,22304,611,3418
6/9/2020,22305,572,1899
6/9/2020,22306,799,2606
6/9/2020,22307,66,490
6/9/2020,22308,67,414
6/9/2020,22309,585,1980
6/9/2020,22310,273,1320
6/9/2020,22311,417,1927
6/9/2020,22312,529,2047
6/9/2020,22314,185,1645
6/9/2020,22315,100,981
6/9/2020,22401,183,1377
6/9/2020,22405,124,1288
6/9/2020,22406,90,970
6/9/2020,22407,432,2529
6/9/2020,22408,152,1161
6/9/2020,22427,8,102
6/9/2020,22432,Suppressed*,24
6/9/2020,22433,Suppressed*,8
6/9/2020,22435,Suppressed*,74
6/9/2020,22436,0,17
6/9/2020,22437,Suppressed*,25
6/9/2020,22438,Suppressed*,10
6/9/2020,22443,32,258
6/9/2020,22448,Suppressed*,25
6/9/2020,22454,Suppressed*,41
6/9/2020,22460,Suppressed*,47
6/9/2020,22469,11,72
6/9/2020,22473,18,174
6/9/2020,22476,Suppressed*,6
6/9/2020,22480,0,31
6/9/2020,22482,Suppressed*,111
6/9/2020,22485,79,888
6/9/2020,22488,Suppressed*,40
6/9/2020,22503,5,166
6/9/2020,22504,0,8
6/9/2020,22508,47,546
6/9/2020,22509,Suppressed*,1
6/9/2020,22511,5,34
6/9/2020,22514,11,70
6/9/2020,22520,34,186
6/9/2020,22529,Suppressed*,11
6/9/2020,22530,0,2
6/9/2020,22534,Suppressed*,80
6/9/2020,22535,Suppressed*,21
6/9/2020,22538,0,9
6/9/2020,22539,Suppressed*,72
6/9/2020,22542,5,84
6/9/2020,22546,50,482
6/9/2020,22548,0,3
6/9/2020,22551,73,706
6/9/2020,22553,42,551
6/9/2020,22554,397,2370
6/9/2020,22556,191,1144
6/9/2020,22560,38,514
6/9/2020,22567,6,133
6/9/2020,22572,278,572
6/9/2020,22576,0,50
6/9/2020,22578,Suppressed*,62
6/9/2020,22579,Suppressed*,8
6/9/2020,22580,15,161
6/9/2020,22601,247,8509
6/9/2020,22602,149,389
6/9/2020,22603,88,235
6/9/2020,22610,8,22
6/9/2020,22611,17,146
6/9/2020,22620,7,51
6/9/2020,22623,Suppressed*,4
6/9/2020,22624,7,24
6/9/2020,22625,6,32
6/9/2020,22627,0,14
6/9/2020,22630,196,942
6/9/2020,22637,Suppressed*,16
6/9/2020,22639,0,12
6/9/2020,22640,Suppressed*,7
6/9/2020,22641,0,1
6/9/2020,22642,18,85
6/9/2020,22643,0,11
6/9/2020,22644,46,52
6/9/2020,22645,23,55
6/9/2020,22646,0,7
6/9/2020,22650,5,14
6/9/2020,22652,5,22
6/9/2020,22654,Suppressed*,9
6/9/2020,22655,103,245
6/9/2020,22656,19,61
6/9/2020,22657,49,170
6/9/2020,22660,10,16
6/9/2020,22663,11,17
6/9/2020,22664,175,547
6/9/2020,22701,673,2241
6/9/2020,22709,Suppressed*,32
6/9/2020,22711,0,2
6/9/2020,22712,93,490
6/9/2020,22713,7,47
6/9/2020,22714,15,53
6/9/2020,22715,Suppressed*,48
6/9/2020,22716,Suppressed*,24
6/9/2020,22718,Suppressed*,19
6/9/2020,22719,0,9
6/9/2020,22720,Suppressed*,31
6/9/2020,22722,0,4
6/9/2020,22723,0,4
